Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,225.070007,228.220001,224.199997,224.589996,224.589996,34805800
2019-10-02,223.059998,223.580002,217.929993,218.960007,218.960007,34612300
2019-10-03,218.429993,220.960007,215.130005,220.820007,220.820007,28606500
2019-10-04,225.639999,227.490005,223.889999,227.009995,227.009995,34619700
2019-10-07,226.270004,229.929993,225.839996,227.059998,227.059998,30576500
2019-10-08,225.820007,228.059998,224.330002,224.399994,224.399994,27955000
2019-10-09,227.029999,227.789993,225.639999,227.029999,227.029999,18692600
2019-10-10,227.929993,230.440002,227.300003,230.089996,230.089996,28253400
2019-10-11,232.949997,237.639999,232.309998,236.210007,236.210007,41698900
2019-10-14,234.899994,238.130005,234.669998,235.869995,235.869995,24106900
2019-10-15,236.389999,237.649994,234.880005,235.320007,235.320007,21840000
2019-10-16,233.369995,235.240005,233.199997,234.369995,234.369995,18475800
2019-10-17,235.089996,236.149994,233.520004,235.279999,235.279999,16896300
2019-10-18,234.589996,237.580002,234.289993,236.410004,236.410004,24358400
2019-10-21,237.520004,240.990005,237.320007,240.509995,240.509995,21811800
2019-10-22,241.160004,242.199997,239.619995,239.960007,239.960007,20573400
2019-10-23,242.100006,243.240005,241.220001,243.179993,243.179993,18957200
2019-10-24,244.509995,244.800003,241.809998,243.580002,243.580002,17318800
2019-10-25,243.160004,246.729996,242.880005,246.580002,246.580002,18330500
2019-10-28,247.419998,249.25,246.720001,249.050003,249.050003,24112500
2019-10-29,248.970001,249.75,242.570007,243.289993,243.289993,35660100
2019-10-30,244.759995,245.300003,241.210007,243.259995,243.259995,30950600
